aweme_id,desc,share_url
6996738104933485830,WTF is happening? SAME. Y'all keep asking me questions in the comments, so I went to the experts at Brud 🤖⚙️📠🔬 #robot #exploring,https://m.tiktok.com/v/6996738104933485830.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6996738104933485830&source=h5_m
6996021472917556485,I don’t write the rules!!! #fitcheck #pose,https://m.tiktok.com/v/6996021472917556485.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6996021472917556485&source=h5_m
6994088577512541445,Hi! I’m Miquela and MY LIFE is kinda crazy!!! But really, it’s getting freaky. #questionsigetasked #deeprealization #robot,https://m.tiktok.com/v/6994088577512541445.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6994088577512541445&source=h5_m
6993346834974395654,What’s your favorite? #3moods #outerbanksseason2 #taurus,https://m.tiktok.com/v/6993346834974395654.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6993346834974395654&source=h5_m
6991492191172463877,Yay sports 🥴 #everydayolympics #tokyoolympics #olympicspirit,https://m.tiktok.com/v/6991492191172463877.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6991492191172463877&source=h5_m
6990750804894289158,,https://m.tiktok.com/v/6990750804894289158.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6990750804894289158&source=h5_m
6988896764241693958,If you're new here, I'm a 🤖. I've got a lot to unpack, but we can do it together 🙃🥺✨💕 #robot #adayinmylife,https://m.tiktok.com/v/6988896764241693958.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ic8e9hccjkae&share_item_id=6988896764241693958&source=h5_m
6988153595069779206,My aura is titanium #wellness #deeprealization,https://m.tiktok.com/v/6988153595069779206.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6988153595069779206&source=h5_m
6986297569462799622,TikTok is truly the superior app #meexplaining #robot,https://m.tiktok.com/v/6986297569462799622.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6986297569462799622&source=h5_m
6985555134298197253,Battery on low, U know this was tooo easy for me #Robot  #Glitch,https://m.tiktok.com/v/6985555134298197253.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6985555134298197253&source=h5_m
6982955915796417797,Go to my IG for more, this month has been crazy,https://m.tiktok.com/v/6982955915796417797.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6982955915796417797&source=h5_m
6977794007699115270,I guess track is my favorite sport 🥰 #realizations #teamusa #olympics,https://m.tiktok.com/v/6977794007699115270.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6977794007699115270&source=h5_m
